"№ п/п","Назва комунальних підприємств, установ закладів","Код ЕДРПОУ","Юридична адреса","телефон","Керівник","е-mail",""
"1. 13","Комунальне підприємство  «Квартирне управління» Кременчуцької міської ради ","39010538","вул. 1905 року, 32","75-80-25 ","Директор Калашник Олександр Вікторович","39010538@mail.gov.ua",""
"2.","Управління культури і туризму виконавчого комітету Кременчуцької міської ради Полтавської області :","02230017","пл. Перемоги, 2","73-12-80","Кондрашов Володимир Олександрович","kultura@kremen.gov.ua",""
"2. 1 ","Комунальний заклад культури «Кременчуцький міський Палац культури»","21074936","бульв. Пушкіна, 2","3-61-06","Директор Ситник Сергій Михайлович","kzk_kmpk@ukr.net",""
"2. 2","Кременчуцька дитяча музична школа № 1 ім. П.І.Чайковського","26218943","вул. Чкалова, 3-А","75-82-60","Директор  Терещенко Василь Васильович","kdmsh1@ukr.net",""
"2. 3","Кременчуцька дитяча музична школа № 2","26218950","вул. Генерала Манагарова, 16","(096)056-87-12","Директор  Гончар Юрій Григорович","kdmsch2@gmail.com",""
"2. 4","Кременчуцька дитяча музична школа № 3 ім.М.М.Колачевського","26218972","проспект Лесі Українки, 18","75-89-75","Директор  Смоляков Володимир Петрович","kremenmuz_3@ukr.net",""
"2. 5","Кременчуцька дитяча художня школа ім. О.Д.Литовченка","26218966","вул. Гоголя, 7/44","3-63-18 ","Директор  Родін Андрій Ігоревич","kdhsh_litovchenka@ ukr.net",""
"2. 6","Комунальний заклад культури «Кременчуцька міська централізована бібліотечна система для дорослих»","05464069","вул. Європейська, 66/13","74-30-65","В.о. директора Майдак 
Тетяна Олексіівна 
","cbsbook@ukr.net",""
"2. 7","Комунальний заклад культури «Кременчуцька міська централізована  бібліотечна система для дітей»","25171257","вул. Соборна, 12/16","74-20-98","Директор  Вологодська Ірина Валеріївна","cbsd1216@gmail.com",""
"2. 8","Комунальний заклад культури «Кременчуцький краєзнавчий музей»","2223916","вул. Ігоря Сердюка, 2","3-91-05","Директор Гайшинська Алла Павлівна","museum_1975@ukr. net",""
"2. 9","Комунальний заклад культури «Кременчуцька міська художня галерея»","25868314","вул. Коцюбинського, 4","3-01-41","Директор  Бойко Оксана Олександрівна","Galereia2012@gmail.com",""
"2. 10","Комунальний заклад культури «Картинна галерея Наталії Юзефович»","25869041","вул. Космічна, 9","(096)056-75-14","Директор Король Алла Андріївна","yuzefovich-kg@ukr.net",""
"2. 11","Комунальний заклад культури «Міський центр культури і дозвілля»","2409331","вул. Республіканська, 63","73-95-70 ","Директор  Татаринов Олександр Анатолійович","mckid.kremen@gmail.com",""
"2. 12","Комунальний заклад культури «Міський парк культури і відпочинку «Придніпровський»","2221685","вул. Коцюбинського, 1","3-63-86","В.о. директора Мірошніченко Олександр Миколайович","kremenchukpark@gmail.com",""
"2. 13","Комунальний заклад культури «Культурно-освітній мистецький заклад «Славутич»","38052598","бульв. Пушкіна, 2","3-61-00","Директор Харів Богдан Анатолійович","kzkomzslavutich@ gmail.com",""
"2. 14","Комунальний заклад культури і відпочинку «Парк Миру»","40276058","вул. Миру, 2","(068)160-05-94","Директор Добрунов Віталій Вікторович","park_miru@meta.ua",""
"2. 15","Комунальний заклад культури «Кременчуцький музей історії авіації і космонавтики»","40796115","вул. Першотравнева, 57-а","74-04-58","В.о. директора Бишенко Анатолій Миколайович","bishenko1952@gmail.com",""
"2. 16","Комунальний заклад культури і відпочинку  «Міський сад»","41007091","по вул. Чкалова, 2,  кім. 10","067-344-02-22","В.о. Дедюрин Віталій Миколайович","misksad@ukr.net",""
"2. 17","Комунальний заклад культури і відпочинку  «Парк Крюківський»","40972192","вул. Івана  Приходька, 100-А","098-451-15-75

","В.о. директора Непша Олександр Сергійович","park.kr.tristan@gmail.com",""
"3.","Управління молоді та спорту виконавчого комітету Кременчуцької міської ради Полтавської області:","02931346","пл. Перемоги, 2","3-20-63 ","Начальник Мазур Олександр Іванович ","molodsportkremen@gmail.com",""
"3. 1","Комунальний заклад фізичної культури і спорту «Кременчуцька міська дитячо-юнацька кінно-спортивна школа «Фаворит»","22528016","вул. М. Грушевського, 2","096-941-86-35","директор Забодіна Ганна Миколаївна","myfrant90@gmail.com",""
"3. 2","Комунальний заклад фізичної культури і спорту «Кременчуцька міська спеціалізована дитячо-юнацька школа олімпійського резерву з боксу»","22547259","бульв. Пушкіна, 2","3-62-00","Директор Гончар Олег Богданович","shoolboxing@meta.ua",""
"3. 3","Комунальний заклад фізичної культури і спорту «Кременчуцька міська спеціалізована дитячо-юнацька спортивна школа з боротьби дзюдо»","25173374","вул. Київська, 85","-","Директор  Волевач Аркадій Дмитрович","banzayua27@gmail.com",""
"3. 4","Комунальний заклад фізичної культури і спорту «Кременчуцька міська комплексна дитячо-юнацька спортивна школа «Авангард»","33588772","проспект Свободи, 106","5-34-82","Директор  Сошенко Дмитро Володимирович","avangard.kremenchug@yandex.ua",""
"3. 5","Комунальний заклад фізичної культури і спорту «Міський футбольний клуб «Кремінь»","26457843","вул. Чкалова, 6-А","74-64-79
","Директор Недяк Андрій Дмитрович","kremin@pfl.com.ua",""
"3. 6","Комунальний заклад фізичної культури і спорту «Кременчуцька міська комплексна дитячо-юнацька спортивна школа № 1»","23553871","пров. Павлівський, 2","74-22-41","Директор Медведенко Олег Володимирович","sport22392@meta.ua",""
"3. 7","Комунальний заклад фізичної культури і спорту «Кременчуцька міська комплексна дитячо-юнацька спортивна школа № 2»","24827804","вул. М. Залудяка, буд. 5","74-17-12
","Директор  Кобзистий Віктор Володимирович","kdyssh2@gmail.com",""
"3. 8","Кременчуцький міський центр фізичного здоров’я населення «Спорт для всіх»","40435036","пл. Перемоги, 2","068-650-67-08","Т.в.о. директора  Мізін Владислав Леонідович ","kmc_sdv_kremen@ukr.net",""
"4.","Управління розвитку підприємництва, торгівлі, побуту та регуляторної політики виконавчого комітету Кременчуцької міської ради Полтавської області     ","","пл. Перемоги, 2","74-38-48","Начальник Жорняк Людмила Григорівна","torg@kremen.gov.ua",""
"4. 1","Комунальне підприємство  «Ринок «Ново-Іванівський» ","31700794","вул. Вадима Бойка, 7","77-12-40","Директор Грицик Юрій Ярославович","ri23719@ukr.net",""
"4. 2","Комунальне підприємство  «Ринкова площа»","31700804","вул. Театральна, 27А","74-34-82","Директор Ворона Олена Іванівна ","alenavorona1204@ gmail.com",""
"5.","Управління у справах сімей та дітей виконавчого комітету Кременчуцької міської ради:","26217671","пл. Перемоги, 2","73-12-79","Начальник  Макаров Андрій Ігорович","26217671@mail.gov.ua",""
"5. 1","Комунальний позашкільний навчальний заклад «Кременчуцький міський будинок дитячої та юнацької творчості»","22528055","вул. М. Залудяка, 14","74-08-59","Директор Кравченко Тетяна Василівна","krembdyut@ukr.net",""
"5. 2","Комунальний позашкільний навчальний заклад «Клуб юних моряків «Гардемарин»","22528003","вул. Черниша, 22","74-15-46","Директор Вілівчук Віталій Михайлович ","gardemarin_kremen@i.ua",""
"5. 3","Комунальний позашкільний навчальний заклад «Об'єднання дитячо-юнацьких клубів за місцем проживання»","22544373","вул. Перемоги, 24/2","3-91-69 ","Директор Чурін Генадій Анатолійович","oduk-krem@ukr.net",""
"5. 4","Кременчуцький  міський  центр соціальних  служб  для  сім’ї, дітей та молоді","22547816","вул. Академіка Маслова, 15/4","3-01-91 
","Директор Цилюрик Олена Сергіївна","kremcenter@ukr.net",""
"5. 5","Комунальний заклад «Дитячий заклад оздоровлення та відпочинку «Зоряний»","26398655","с. Потоки, вул. Лісова, 48","74-34-64","Директор  Угніч Григорій Анатолійович","kr.zorianyi@gmail. com",""
"5. 6","Комунальне підприємство «Кременчуцький міжрайонний навчально-курсовий комбінат»","21063140","вул. Соборна, 38","79-18-75","Навроцький Віталій Миколайович","kmnkk2017@ukr.net",""
"5. 7","Центр соціально-психологічної реабілітації дітей Кременчуцької міської ради","25154336","просп. Свободи, 148 ","74-15-46","Маслій Олена Борисівна","center.ditu.kremenchuk@ukr.net",""
"6.","Управління охорони здоров'я виконавчого комітету Кременчуцької міської ради Полтавської області","02013113","вул. Ігоря Сердюка, 10","73-94-55","Начальник Середа Максим Володимирович ","health@kremen.gov. ua",""
"6. 1","Комунальне некомерційне медичне підприємство «Кремен-чуцька перша міська лікарня ім. О.Т.Богаєвського»","01999613","вул. Лікаря Богаєвського, 60/1","75-80-33","Директор Бородянець Галина Вікторівна","1hospt@gmail.com",""
"6. 2","Комунальне некомерційне медичне підприємство «Кременчуцька міська лікарня «Правобережна»","01204294","вул. Генерала Манагарова, 7","75-81-55 ","Директор Севастян Віктор Петрович","2hosps@i.ua",""
"6. 3","Третя міська лікарня (в стані припинення) ","01999649","вул. Павлова,2","5-33-64","Голова ліквідаційної комісії  Сичов Віктор Анатолійович","-",""
"6. 4","Комунальне некомерційне медичне підприємство «Лікарня відновного лікування»","01204147","пров. Льва Толстого, 1А"," 067-463-30-99","Директор Чіп Микола Миколайович","likarnya5@meta.ua",""
"6. 5","Комунальне некомерційне медичне підприємство «Кременчуцька міська дитяча лікарня»","05385571","вул. Павлова, 16","5-35-88","Директор Добрик Костянтин Людвигович","kmdl@i.ua",""
"6. 6","Комунальне некомерційне медичне підприємство «Кременчуцький перинатальний центр ІІ рівня»","01999632","вул. Майора Борищака, 20/3","75-86-00","Директор Сербін Радомир Анатолійович","kremroddomsekretar@ukr.net",""
"6. 7","Кременчуцька міська станція швидкої медичної допомоги     (В стані припинення)","01999572","вул. Театральна, 22","","Гол. лікар Дубницький Ігор Якович. Голова комісії з ліквідації Петращук Дмитро Онисійович","-",""
"6.8","Комунальне некомерційне медичне підприємство «Кременчуцький міський стоматологічний центр»","42631629","вул. Київська, 14","75-83-64 
","Директор Стукало Олександр Миколайович","info@kremenchuk-msp.pl.ua",""
"6.9","Комунальне некомерційне медичне підприємство «Міська дитяча стоматологічна поліклініка»","01204236","Проспект Свободи, 26/41","75-88-15","Директор Ярина Галина Іванівна ","info@dentist.pl.ua",""
"6.10","КП «Аптека № 90»","24568604","вул. Київська,56","78-24-72","В.о. директора Ботвина Ігор Вікторович","apteka90@ukr.net",""
"6.11","КП «Аптека № 92» ( в стані припинення діяльності)","24568627","проспект Свободи, 94/28","-","Голова комісії з припинення Анікєєва Алла  Андріївна","-",""
"6.12","Комунальне некомерційне медичне підприємство «Центр первинної медико-санітарної допомоги № 1»  м. Кременчука","38742830","вул. Івана Мазепи, 26","75-84-14 ","Директор Тарасова Наталія Євгеніївна","kremencenter1@mail.ua",""
"6.13","Комунальне некомерційне медичне підприємство «Центр первинної медико-санітарної допомоги № 2»  м. Кременчука","38742851","вул. Генерала Манагарова, 9","73-94-80     ","Директор Махтай Оксана Володимирівна","centermed2@i.ua",""
"6.14","Комунальне некомерційне медичне підприємство «Центр первинної медико-санітарної допомоги № 3» м. Кременчука","38742846","квартал 278, буд.13-Б","096-906-27-26 ","Директор Чорнявська Марія Андріївна","kremenchuk-map@ukr.net",""
"6.15","Комунальне медичне підприємство «Лікарня Придніпровська»","01111598","провулок  Павлівський, буд. 1/4 ","75-61-00","Директор Скачко Віктор Іванович","gdbolnica@link-kremen.net",""
"6.16","Комунальне некомерційне медичне підприємство «Лікарня інтенсивного лікування «Кременчуцька»","41318879","вул. Павлова, буд. 2","097-382-75-45 ","Директор Корлякова Оксана Вікторівна ","kremenlik@gmail. com",""
"7.","Департамент освіти виконавчого комітету Кременчуцької міської ради Полтавської області:","33989364","вул.Лейтенанта Покладова, 3","74-33-02  ","Директор департаменту освіти Москалик Геннадій Федорович, начальник управління Михайленко Світлана Олександрівна ","info@kr-osvita.gov.ua",""
"7. 1","Кременчуцька загальноосвітня школа І-ІІІ ступенів №1 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 1 Кременчуцької міської ради Полтавської області  відповідно до рішення міської ради від 24.04.2019)","23554020","вул. Чкалова, 1-А","74-72-03 ","директор Білоножко Олена Вікторівна","shkola.1@ukr.net",""
"7. 2","Кременчуцький  навчально-виховний комплекс  ""Загальноосвітня школа  I-ІІІ ступенів – позашкільний навчальний заклад "" №  2 Кременчуцької  міської ради Полтавської  області","41281069","вул. Б. Хмельницького, 66","75-89-80  ","Директор  Цюпка Юлія Григорівна   ","school-2@i.ua",""
"7. 3","Кременчуцька загальноосвітня школа І-ІІІ ступенів №3 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 3 Кременчуцької міської ради Полтавської області   відповідно до рішення міської ради від 24.04.2019)","22548922","вул. Мічуріна, 28","75-87-10 ","директор Куліш Наталія Миколаївна","school3kremen@ukr. net",""
"7. 4","Кременчуцький ліцей № 4 ""Кремінь"" Кременчуцької міської ради Полтавської області","25154081","вул. Першотравнева, 13","3-60-34  
","директор Одерій Тетяна Андріївна ","krem_licey4@meta.ua",""
"7. 5","Кременчуцький ліцей № 5 імені Т.Г.Шевченка Кременчуцької міської ради Полтавської області","41280898","пров. Героїв Бресту, 65","75-89-70","директор Оксаніченко Сергій Олександрович","gimnasiya_5@i.ua",""
"7. 6","Кременчуцький ліцей №6 «Правобережний»
Кременчуцької міської ради Полтавської області
Полтавської  області","41280903","вул. Олександра Білаша, 32","067-683-26-85","директор Шаповал Олена Анатоліївна","gimnasiumsix@i.ua",""
"7. 7","Кременчуцька гімназія № 7 Кременчуцької міської ради Полтавської області","23553919","вул. Пілотів, 41-Б","096-390-11-40","директор Павлішевська Лариса Василівна ","7school.krem@gmail.com",""
"7. 8","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 8 Кременчуцької міської ради Полтавської області (реорганізація  в Кременчуцьку гімназію № 8 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","24827827","вул. Тараса Бульби, 6","78-26-40","директор Шаргородська Валентина Миколаївна","school-rodina8@ukr.net",""
"7. 9","Кременчуцька гімназія № 9 Кременчуцької міської ради Полтавської області","23553925","вул. Івана Приходька, 38/5","097-715-04-97","директор Камська Тетяна Володимирівна","shkola.9@gmail.com",""
"7. 10","Кременчуцький ліцей № 10 ""Лінгвіст"" Кременчцької міської ради Полтавської області","24827833","вул. Лейтенанта Покладова, 8","3-51-19 ","директор Мамон Наталія Володимирівна","10-shkola@ukr.net",""
"7. 11","Кременчуцький ліцей № 11 ""Гарант"" Кременчуцької міської ради Полтавської області","23553931","вул. Першотравнева, 53","74-30-48 ","директор Бикова Наталія Олександрівна","kremenchuk.lyceum11@gmail.com",""
"7. 12","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 12 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 12 Кременчуцької міської ради Полтавської області  відповідно до рішення міської ради від 24.04.2019)","24827843","вул. Володимира Великого, 52","75-89-31","директор Носкін В'ячеслав Олександрович","12_school_12@ukr. net",""
"7. 13","Кременчуцький навчально-виховний комплекс: загально-освітня школа І  ступеня  № 15 – дошкільний навчальний заклад (ясла-садок) комбінованого типу Кременчуцької міської ради Полтавської області","39973989","квартал 278,11","70-30-25","директор Патерило Андрій Іванович","kremenschool15@ gmail.com",""
"7. 14","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 16 Кременчуцької міської ради Полтавської області (здійснюється перемейнування в Кременчуцьку гімназію № 16 Кременчуцької міської ради Полтавської області з 01.07.2020 відповідно до рішення міської ради від 24.04.2019)","23554037","вул. Велика набережна, 37","75-80-24","директор Довбня Олексій Васильович","school-16@ukr.net",""
"7. 15","Кременчуцький ліцей № 17 ""Вибір"" імені М.Г.Неленя Кременчуцької міської ради Полтавської області","22538987","вул. Тараса Бульби, 14","75-60-75","директор Марченко Валентина Михайлівна","school.17@ukr.net",""
"7. 16","Кременчуцька гімназія № 18 Кременчуцької міської ради Полтавської області","24830456","вул. Ватутіна, 25","067-394-90-65","директор Шендрик Валентина Володимирівна","school_18_@ukr.net",""
"7. 17","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 19 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 19 Кременчуцької міської ради Полтавської області  відповідно до рішення міської ради від 24.04.2019)","23553960","вул. Шевченка, 58/69","74-13-68 ","директор Пашедін Андрій Петрович","znz-19@ukr.net",""
"7. 18","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 20 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 20 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","24830485","вул. Академіка Маслова, 12","068-160-84-58","директор Никифоренко Володимир Михайлович","znz-20@ukr.net",""
"7. 19","Кременчуцький ліцей-інтернат № 21 ""СТАРТ"" спортивного профілю Кременчуцької міської ради Полтавської області","24830539","вул. Чкалова, 217","70-41-40 ","директор Деньга Олександр Анатолійович","kremen.internat21@ gmail.com",""
"7. 20","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 22 Кременчуцької міської ради Полтавської області (здійснюється перемейнування в Кременчуцьку гімназію № 22 Кременчуцької міської ради Полтавської області  відповідно до рішення міської ради від 24.04.2019)","23553977","вул. Шкільна, 16","70-15-02 ","директор Гербас Ганна Несторівна","znz-22@ukr.net",""
"7. 21","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 23 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 22 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","23553983","вул. Олександрій-ська, 18","73-94-38","директор Ратушна Ольга Миколаївна ","school23kremenchuk@ukr.net",""
"7. 22","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 24 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 24 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","24830522","проспект Полтавський, 13","72-45-90","директор Фофанов Валерій Акиндинович","kozaks_school24@ ukr.net ",""
"7. 23","Кременчуцький ліцей № 25 ""Гуманітарний колегіум"" Кременчуцької міської ради Полтавської області ","24830516","вул. Гвардійська, 16","5-38-82 
","директор Москалик Тетяна Олександрівна","kremen_kolegium_25@bigmir.net",""
"7. 24","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 26 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 26 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","24830500","пров. Грозненський, 4","067-262-08-10","директор Сакун Володимир Григорович","school26.07@ukr.net",""
"7. 25","Кременчуцька гімназія № 27 Кременчуцької міської ради Полтавської області","24830491","проспект  Свободи, 104","5-39-60 ","директор Касюра Сергій Володимирович","school27kremen@ukr.net",""
"7. 26","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 28 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 28 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","24826804","пров. Олега Кошового, 5-А","098-759-40-02","директор Трохименко Іван Миколайович","school28kremenchuk@gmail.com",""
"7. 27","Кременчуцька гімназія № 29 Кременчуцької міської ради Полтавської області","23554043","вул. Республіканська, 76","75-82-70","директор Бордюг Любов Володимирівна","kremen_ZNZ29@ukr.net",""
"7. 28","Кременчуцький ліцей № 30 ""Олімп"" імені Н.М.Шевченко Кременчуцької міської ради Полтавської області","24826816","пров. Олега Кошового, 3","067-570-39-20","директор Шиян Ольга Миколаївна","kremlit30@gmail.com",""
"7. 29","Кременчуцька загальноосвітня школа І-ІІІ ступенів № 31 Кременчуцької міської ради Полтавської області (реорганізація в Кременчуцьку гімназію № 31 Кременчуцької міської ради Полтавської області відповідно до рішення міської ради від 24.04.2019)","24826822","вул. Героїв України, 39-А","067-497-39-83","директор Гребенюк Володимир Зіновійович","31_school_31@ukr. net",""
"7. 30","Кременчуцький ліцей № 13 ""Авіор"" Кременчуцької міської ради Полтавської області","24826845","вул. Маяковського, 3","5-35-36","директор Шиян Віктор Михайлович","night.school3@gmail.com",""
"7. 31","Дошкільний навчальний заклад (ясла-садок) № 1 Кременчуцької міської ради Полтавської області ","25166530","вул. Олексія Древаля, 114А","096-259-76-13","Завідуюча Писаренко Надія Пилипівна","krdnz01@ukr.net",""
"7. 32","Дошкільний навчальний заклад (ясла-садок) комбінованого типу №2 Кременчуцької міської ради Полтавської області","24827997","проспект Свободи, 29","096-542-45-42","Завідуюча Мудра Ірина Іванівна","krdnz02@ukr.net ",""
"7. 33","Дошкільний навчальний заклад (ясла-садок) комбінованого типу №3 Кременчуцької міської ради Полтавської області","23550370","вул. Олександра Білаша, 10","068-643-59-63","Завідуюча Лебеденко Людмила Петрівна","krdnz03@ukr.net",""
"7. 34","Дошкільний навчальний заклад (ясла-садок) № 4 Кременчуцької міської ради Полтавської області","26163685","вул. Соломії Крушельницької, 40","096-359-81-10","Завідуюча Бороденко Світлана Анатоліївна","krdnz04@ukr.net",""
"7. 35","Дошкільний навчальний заклад (ясла-садок) № 5 Кременчуцької міської ради Полтавської області","38252483","вул. Халаменюка, 10-А","73-13-81","Завідуюча Мірошніченко Ольга Іванівна ","krdnz05@ukr.net",""
"7. 36","Дошкільний навчальний заклад (ясла-садок) компенсуючого типу № 10 Кременчуцької міської ради Полтавської області","23550393","вул. Івана Мазепи, 47","74-05-98 ","Завідуюча Отрізна Світлана Василівна","krdnz10@ukr.net",""
"7. 37","Дошкільний навчальний заклад (ясла-садок) № 11 Кременчуцької міської ради Полтавської області","24828005","вул. Академіка Маслова, 3А","097-168-55-99","Завідуюча Шевченко Юлія Олександрівна ","krdnz11@ukr.net",""
"7. 38","Дошкільний навчальний заклад (ясла-садок) № 12 Кременчуцької міської ради Полтавської області","25732052","вул. Генерала Манагарова, 16А","067-535-54-11","Завідуюча Яцик Лариса Олексіївна","krdnz12@ukr.net",""
"7. 39","Дошкільний навчальний заклад (ясла-садок) № 13 Кременчуцької міської ради Полтавської області","23550401","вул. Івана Приходька, 101","067-682-54-49","Завідуюча Турчан Надія Володимирівна ","krdnz13@ukr.net",""
"7. 40","Дошкільний навчальний заклад (ясла-садок)  № 14 Кременчуцької міської ради Полтавської області","24827974","вул. Юрія Кондратюка, 12","098-719-37-61","В.о. завідуючої Дудюк Наталія Олександрівна","krdnz14@ukr.net",""
"7. 41","Дошкільний навчальний заклад (ясла-садок)  комбінованого типу № 18 Кременчуцької міської ради Полтавської області","24827968","вул. Лейтенанта Покладова, 12","74-24-30 ","Завідуюча Васильєва Ольга Олексіївна","krdnz188@ukr.net ",""
"7. 42","Дошкільний навчальний заклад (ясла-садок)  № 19 Кременчуцької міської ради Полтавської області","39946761","вул. Софіївська,1","067-531-88-85","Завідуюча Гладенька Галина Анатолівна","krdnz19@ukr.net",""
"7. 43","Дошкільний навчальний заклад (ясла-садок)  № 21 Кременчуцької міської ради Полтавської області","23550387","пров. Правобережний, 14-А","096-567-37-44","Завідуюча Павлюк Марина Володимирівна","krdnz21@ukr.net",""
"7. 44","Дошкільний навчальний заклад (ясла-садок)  № 23 Кременчуцької міської ради Полтавської області","25166523","пров. Героїв Бресту, 40","097-461-51-37"," Завідуюча Корягіна Олена Миколаївна","krdnz23@ukr.net",""
"7. 45","Дошкільний навчальний заклад (ясла-садок)  № 24 Кременчуцької міської ради Полтавської області","23550424","вул. Мічуріна, 30/1","068-480-95-84","Завідуюча Бакало Лариса Дмитрівна","krdnz24@ukr.net ",""
"7. 46","Дошкільний навчальний заклад (ясла-садок)  №  25 Кременчуцької міської ради Полтавської області","24830968","вул. Академіка Маслова, 3","74-15-33 ","Завідуюча Криворучко Тетяна Михайлівна","krdnz25@ukr.net ",""
"7. 47","Центр розвитку дитини (дошкільний навчальний заклад)  № 26 Кременчуцької міської ради Полтавської області","25760290","пров. Правобережний, 14","098-260-94-20","Завідуюча Андреєва Ірина Вікторівна","krdnz26@ukr.net",""
"7. 48","Дошкільний навчальний заклад (ясла-садок)  № 28 Кременчуцької міської ради Полтавської області","24830930","пров. Поштовий, 4","3-61-38 ","Завідуюча Рома Олена Олександрівна","krdnz28@ukr.net",""
"7. 49","Дошкільний навчальний заклад (ясла-садок)  № 29 Кременчуцької міської ради Полтавської області","24830918","вул. Майора Борищака, 3","75-76-09","Завідуюча Стеценко Ірина В'ячеславівна","krdnz29@ukr.net",""
"7. 50","Дошкільний навчальний заклад (ясла-садок) комбінованого типу № 32 Кременчуцької міської ради Полтавської області","25166658","вул. Шевченка, 66/2","74-10-36 ","Завідуюча Малікова Лариса Вадимівна","krdnz32@ukr.net",""
"7. 51","Дошкільний навчальний заклад (ясла-садок)  № 33 Кременчуцької міської ради Полтавської області","25166612","вул. Гвардійська, 14","5-32-01 ","Завідуюча Орленко Світлана Миколаївна","krdnz33@ukr.net",""
"7. 52","Дошкільний навчальний заклад (ясла-садок)  № 34 Кременчуцької міської ради Полтавської області","23550430","вул. Софіївська, 82","74-15-44","Завідуюча Мороз Ірина Олександрівна","krdnz34@ukr.net",""
"7. 53","Дошкільний навчальний заклад (ясла-садок)  № 35 Кременчуцької міської ради Полтавської області ( реорганізація ДНЗ №19)","39568594","вул. Соборна, 38","74-12-15 ","Завідуюча Кишлян Ольга Петрівна","krdnz35@ukr.net",""
